text,intent
هما الناس اللي بيجيلها الفيرس بتتعزل فين ؟,business location
شكرا,reviews
عارفة ليه ؟,nothing identified
كام عدد المصابين الآن في مصر بفيروس كرونا,infected cases
متي ننتهي من هذا الوباء,the evolution of the virus
اهلا ناميسا,greeting
اعداد اليوم,infected cases
عاطيب امريكا رايحه على فين؟,infected cases
الاردن,infected cases
العلاج,treatment
اعداد الإصابات في امريكا و اطاليا امبارح ؟,infected cases
كوسوفو,infected cases
اعداد المصابين فى العالم,infected cases
كيفيه التعامل مع الشنط والاغراض التي يتم شرائها,precautions
وهل درجه الحراره هتنيهيه,warm weather
كم عدد الحالات المتوقع ظهرها في مصر,infected cases
طبعا هيقولو دي مش اعراض كورونا,symptoms
شكرا نميسة,reviews
العرف ازاي اني مصابه بالكورونا,symptoms
الهند,infected cases
دواء,treatment
الحالات فى مصر,infected cases
أخبار جديده,infected cases
هل كورونا ينتشر عبر الهواء ؟,transfer methods
انا احبك نميسة,kindness
فيروس كورونا,about corona virus
كحه,assessment
الحالات فى الصين,infected cases
شكرا ليكم,reviews
سلام عليكم,greeting
نميسة,greeting
اهلا 😊,greeting
اعرض االمرض,symptoms
كم عدد المصابين فى مصر الان,infected cases
بوت محترم اوى,kindness
اقصد ايه اعراض كروانا  انا يوم وتاني يوم,symptoms
انا اشعر بهمدان جسم وانا لا انام نوم منتظم بما تنصحيني,symptoms
الحالات اليوم,infected cases
كورونا هيخلص إمتي,the evolution of the virus
اماكن الحجر الصحي في مصر,home quarantine
الإعداد في مصر و قطر,infected cases
مصر والسعوديه,infected cases
دولة كوسوفو,infected cases
كام عدد الحالات في الكويت وقطر,infected cases
المصابين قد إيه النهاردة,infected cases
إيه هو أسوأ سيناريو ممكن يحصل لمصر,the evolution of the virus
أهلاً .,greeting
ازاى اعرف اذا كان عندى كورونا ولا لا؟,symptoms
العدوي ممكن تتنقلي من الهوا لما بنزل الشارع,transfer methods
ما هو قرونه,about corona virus
أعراض مواد القروض,symptoms
حميات,business location
كم عدد المصابين النهاردة يا نميسة في مصر؟,infected cases
ايه آخر أخبار كرونا,infected cases
بالعربي,spoken languages
ما فيش اخبار عن أي مصر أو أي دواء,treatment
أعراض مرض كورنا,symptoms
هاي,greeting
كام عدد مصبين كرونا في مصر,infected cases
عندى سعال  مصاحب ببلغم هل كده تبقى كورونا,assessment
اعراض الكرونا,symptoms
طيب ماذا عن المصل ؟,treatment
هل الكمامات ذات الفلتر ومن أشهرها n95. هل تستخدم عدة مرات بعد تعقيمها جيدا بالكحول ام لا,sterilization and disinfection
سألتها ما هي علامات المرض ؟,symptoms
اعرف ازاي اني مصاب,symptoms
السودان,infected cases
عدد الحالات الجديدة في مصر,infected cases
ازيك ناميسه,how are you
اهلا ومرحبا,greeting
اعقم البيت ازاي واستخدم انهي كحول ؟,sterilization and disinfection
طب انتي ذكية؟,nothing identified
ينفع اسال علي اي حاجه تاني,nothing identified
كفاءة 😂,reviews
الحالات الجديدة,infected cases
عدد الاصابات بكرونا اليوم في السعودبة,infected cases
ما هي أعراض المرض,symptoms
عدد حالات اليوم,infected cases
سلام,end conversation
كم عدد الحالات في مصر,infected cases
الدوا إمتي ؟,treatment
ايه الاخبار يا نميسة,how are you
الاعداد فى روسيا كام,infected cases
الحالات في كولومبيا,infected cases
هل الأحسن ألبس ماسك ولا لأ,muzzle/mask
طيب في الأردن كام حالة,infected cases
أقصد يعني هي ليه عارض من اول يوم,symptoms
هل التدخين لقب فيروس كرونة,smoking
ممكن اعرف اخر مستجدات كورونا,about corona virus
من فضلك لو حد حرارته بتبقي الصبح ٣٧ وباليل بتطلع ٣٧ و٦ شرط بس مفيش تعب أو حاجه ده عادي,nothing identified
عدد الحالات في إسرائيل,infected cases
وطرق الوقايه,precautions
حالات النهاردة,infected cases
عدد الحالات فی اسبانیا,infected cases
ما هي وسائل الوقايه من فيرس كورونا المستجد,precautions
ما هي المواد التي يمكن وضعها في الرشاش المستخدم في التعقيم في المنزل و ما التركيزات؟,sterilization and disinfection
عدد الوفيات,infected cases
ما سبب الحرقان المستمر ف الزرو مع الريق الناشف,assessment
هو الأحسن ألبس جوانتي ولا لا,gloves
التاريخ المتوقع لانتهاء فيرس كرونا فى مصر,the evolution of the virus
انتو بلح,nothing identified
اه,yes
الحجر الصحي بأبوقير الإسكندرية,home quarantine
ايه عالامات المرض,symptoms
كيف يكون الحجر الصحي,home quarantine
طرقرالوقايه,precautions
سلبيات كورونا,about corona virus
حالات انهارده,infected cases
ايه نوع الكحول اللي اعقم بيه البيت,sterilization and disinfection
الصداع والضغط الواطي من اعراض كرونا,symptoms
ما هي فكرة الأهرامات,nothing identified
شكرا لحضرتك,reviews
انا بسال عن محافظة نعينة,infected cases
كيف تنتقل العدوي بفيروس كورونا,transfer methods
إعداد المصابين,infected cases
ماهي الفحوصات المطلوبه لمعرفه وجود الفيروس,disease detection
انا بكح,assessment
شكرا ♥️,reviews
نموستي سمسوونتي,greeting
الوقايه من كرونا,precautions
اعداد الحالات في إسرائيل,infected cases
الفرق بين الانفلونزا والكورونا,comparison
حالات النمسا,infected cases
انا اسمي مايكل و حابب اعرفك اكتر يانميسة هانم ❤️,about bot
عدد المصابين في مصر يوم 13,infected cases
آخر أخبار كورونا في مصر,the evolution of the virus
اي المحافظات المصرية ظهرت بها حالات إصابة وعدد الوفيات,infected cases
ماهي اعداد الاصابة في ايطاليا ؟,infected cases
طيب ليه مش بتجاوبي عن تقرير إسرائيل,infected cases
الحالات في مصر,infected cases
كيفيه الوقاية من كورونا,precautions
هل تم الوصول الي مصل ضد فيروس كورونا,treatment
البرتغال,infected cases
ايه النظام,nothing identified
انا بتحرك كتير بحكم شغلي.  بس بتحرك بعربيتي   الخاصه. بس ممكن اعمل ايه اول ما ارجع البيت,precautions
اوعدك انك هتبقي اذكي chatbot في العالم,reviews
أهلا ناميسه,greeting
هل كلبي ممكن ينقل لي الفيوس,infection by animals
الحالات وصلت لكام في اسبانيا,infected cases
اعداد الحالات في قطر,infected cases
في امريكا,infected cases
الحالات فى الأردن,infected cases
حماده اوى,reviews
ايه الرقم اللي نتصل بيه لو في حد جاله الفيرس وحالته صعبه,emergency
ايه الغباء ده,reviews
كم عدد الحالات في كندا,infected cases
هل اثبت اي علاج للكورونا حتي الان فعاليته في القضاء عليها,treatment
حالات كورونا الجديده بمصر,infected cases
شكرا جزيلا بصراحة خدمة كويسه جدا,reviews
عدد حالات وفيات الكورونا فى مصر والدول العربية,infected cases
كم عدد المصابين بمصر الان,infected cases
شكرا يا نمسية,reviews
إزاي أطهر البيت,sterilization and disinfection
كم عدد المصابين بكرونا اليوم بمصر,infected cases
متي يتوقف فيروس كورونا ؟,about corona virus
ايران وتركيا بريطانيا,infected cases
اعراض مرض الكرونه,symptoms
اعداد المصابين فى مصر اليوم,infected cases
كيف يمكن التواصل معكم؟,about business
ما هي اعراض المرض,symptoms
ازاي اعرف لو حد مريض كورونا او لا,symptoms
عدد حالات مصر النهارده,infected cases
أيوه ده ايه علاقته بالسؤال؟,nothing identified
هاى,greeting
ازاى اتجنب الفيرس,precautions
كام عدد الحالات فى امريكا,infected cases
انا اعرف ازاى انا عندى الكورونا,symptoms
الاشعه المقطعيه علي الصدر تدل علي وجود المرض,disease detection
انتى مين ؟,about bot
طيب عايزه اي اساليب اتبعها عشان اقدر احمي عيالي,precautions
أهلا وسهلا,greeting
اهلا,greeting
بلح,nothing identified
كم عدد الحالات,infected cases
متى ينتهى فيروس كورونا,the evolution of the virus
ممكن اعرف متى يتم الانتهاء من فيرس كرونا وهل يتأثر بارتفاع درجة الحرارة,warm weather
